player,rank,sum,prize
Akalli,1,300,250
Stellar Flares,2,236,0
Bloodclat,3,185,0
Achimoo,4,145,0
HikozaruGG,5,114,0
Originality,5,114,0
Cicada,7,90,0
Fabionacci,7,90,0
Nayjar,9,70,0
Milkylex,9,70,0
ZaraSensei,9,70,0
Marty,9,70,0
Micciu,13,55,0
RoiDadadou,13,55,0
Chirac,13,55,0
RaulGB44,13,55,0
Umberto,17,43,0
Vixyon,17,43,0
Maxouille,17,43,0
Armo,17,43,0
Juan,17,43,0
JimmyG9965,17,43,0
Fardin,17,43,0
BIHI,17,43,0
Welli0u,25,34,0
Dawad,25,34,0
Hyperbol,25,34,0
SylveonCM,25,34,0
Mimil,25,34,0
Damflame,25,34,0
Carkoala,25,34,0
Ikra,25,34,0
Yovan,33,27,0
Xyldaz,33,27,0
Cielau,33,27,0
Elias PSY,33,27,0
Uzerklu,33,27,0
S7a,33,27,0
Flabeauf,33,27,0
Horodro,33,27,0
Ahsan219,33,27,0
LoveVeluza,33,27,0
Shiyere,33,27,0
Kthuloutre,33,27,0
Lougarick,33,27,0
Leavers,33,27,0
Trace,33,27,0
Extinct,33,27,0
Mimilimi,49,21,0
Mimikyu Stardust,49,21,0
LucioCerra,49,21,0
Patatex,49,21,0
Torvik,49,21,0
Remi25,49,21,0
Daharan,49,21,0
Chicos,49,21,0
Hiro',49,21,0
Pasy_g,49,21,0
Royal,49,21,0
ZySwir2,49,21,0
Mada,49,21,0
Le Denis,49,21,0
TPP,49,21,0
L0ulstraT09,49,21,0
Antonazz,65,17,0
Lokifan,65,17,0
Nassim,65,17,0
Silent waltzz,65,17,0
Crowlignt,65,17,0
SM,65,17,0
Belefeb,65,17,0
Zeyku,65,17,0
Pheo,65,17,0
CMDoge,65,17,0
Unamed,65,17,0
MichaelderBeste,65,17,0
Buuditz,65,17,0
Lvnd,65,17,0
Wait2Seconds,65,17,0
DaMMu,65,17,0
FROL1,65,17,0
Nayaruu,65,17,0
Dessmond,65,17,0
Bendume,65,17,0
Zayda,65,17,0
Hajrafisebbat,65,17,0
Lily,65,17,0
Eoward,65,17,0
Poulet en sauce,65,17,0
Platum,65,17,0
ElPadou,65,17,0
Zizi Festif,65,17,0
Zerwixo,65,17,0
TheLastPseudo,65,17,0
Surimi,65,17,0
Rubyblood,65,17,0
Kebabmlml,97,13,0
Foufakirby,97,13,0
Tailouze,97,13,0
Multiprise,97,13,0
Wildygon,97,13,0
Youde,97,13,0
Simuxxie,97,13,0
Illianes,97,13,0
Gravity Monkey,97,13,0
Alaba,97,13,0
Junkhead,97,13,0
