name;img
Hiro';https://play.pokemonshowdown.com/sprites/trainers/acetrainerf-gen4.png
Foufakirby;https://play.pokemonshowdown.com/sprites/trainers/heroine2-conquest.png
Extinct;https://play.pokemonshowdown.com/sprites/trainers/whitney-masters.png
Silent waltzz;https://play.pokemonshowdown.com/sprites/trainers/acetrainersnowf.png
HikozaruGG;https://play.pokemonshowdown.com/sprites/trainers-custom/hikozarugg.png
BetterGreen;https://play.pokemonshowdown.com/sprites/trainers/wally-masters.png
Trihydre;https://play.pokemonshowdown.com/sprites/trainers/aetheremployee.png
Tuthur;https://play.pokemonshowdown.com/sprites/trainers-custom/tuthurxmas.png
Navys_1;https://play.pokemonshowdown.com/sprites/trainers/sailor.png
RoiDadadou;https://www.smogon.com/forums/attachments/wcop2024belgium-png.636382/
Ombrarch;https://play.pokemonshowdown.com/sprites/trainers/alder.png
Arakd'eau;https://play.pokemonshowdown.com/sprites/trainers/aetherfoundation2.png
Cielau;https://play.pokemonshowdown.com/sprites/trainers/nate.png
Uber45;https://play.pokemonshowdown.com/sprites/trainers/benga.png
Fantominus;https://play.pokemonshowdown.com/sprites/trainers/aetherfoundationf.png
Raph369;https://play.pokemonshowdown.com/sprites/trainers/acetrainerf-gen6.png
Zerwixo;https://play.pokemonshowdown.com/sprites/trainers/yellgrunt.png
Hyperbol;https://play.pokemonshowdown.com/sprites/trainers/ballguy.png
Maxouille;https://play.pokemonshowdown.com/sprites/trainers/skyla-masters2.png
Shadowtime;https://play.pokemonshowdown.com/sprites/trainers/shadowtriad.png
Bereng0;https://play.pokemonshowdown.com/sprites/trainers/biker-gen4.png
Zeyku;https://play.pokemonshowdown.com/sprites/trainers/sightseer.png
SM;https://play.pokemonshowdown.com/sprites/trainers/li.png
Wappy;https://play.pokemonshowdown.com/sprites/trainers/sightseerf.png
Antonazz;https://play.pokemonshowdown.com/sprites/trainers-custom/antonazz.png
JspKiC;https://play.pokemonshowdown.com/sprites/trainers/ryuki.png
Kamisam;https://play.pokemonshowdown.com/sprites/trainers/jrtrainer-gen1.png
Kindyy;https://play.pokemonshowdown.com/sprites/trainers/pokekid-gen8.png
Infernox;https://play.pokemonshowdown.com/sprites/trainers/medium-gen2jp.png
Suwuki;https://play.pokemonshowdown.com/sprites/trainers/bugcatcher-gen1.png
Staymox;https://play.pokemonshowdown.com/sprites/trainers/bugcatcher-gen1rb.png
Pheo;https://play.pokemonshowdown.com/sprites/trainers/red-gen1main.png
Futtry;https://play.pokemonshowdown.com/sprites/trainers/bugcatcher-gen2.png
Pasy_g;https://play.pokemonshowdown.com/sprites/trainers/marlon.png
Zeyn John;https://play.pokemonshowdown.com/sprites/trainers/dragontamer.png
Xerneas2;https://play.pokemonshowdown.com/sprites/trainers/caitlin-gen4.png
Thoutmoisis;https://play.pokemonshowdown.com/sprites/trainers/bugcatcher-gen3.png
Zenord;https://play.pokemonshowdown.com/sprites/trainers/youngster-gen3rs.png
Lokifan;https://play.pokemonshowdown.com/sprites/trainers/pokemonranger.png
Azyor;https://play.pokemonshowdown.com/sprites/trainers/bugcatcher-gen6.png
Rimb;https://play.pokemonshowdown.com/sprites/trainers/bugcatcher-gen4dp.png
Kylhor;https://play.pokemonshowdown.com/sprites/trainers/bugcatcher.png
Ikra;https://play.pokemonshowdown.com/sprites/trainers/picnicker-gen2.png
LuciferGT;https://play.pokemonshowdown.com/sprites/trainers/picnicker-gen3rs.png
Nayjar;https://play.pokemonshowdown.com/sprites/trainers/aaron.png
Daharan;https://play.pokemonshowdown.com/sprites/trainers/picnicker.png
Alaba;https://play.pokemonshowdown.com/sprites/trainers/plasmagrunt-gen5bw.png
SylveonCM;https://play.pokemonshowdown.com/sprites/trainers-custom/sylveonissocute.png
Mimilimi;https://play.pokemonshowdown.com/sprites/trainers-custom/wcop2023france2.png
Boonty88;https://play.pokemonshowdown.com/sprites/trainers/bodybuilder-gen9.png
Maxou1239;https://play.pokemonshowdown.com/sprites/trainers/preschooler-gen7.png
CMDoge;https://play.pokemonshowdown.com/sprites/trainers/poppy.png
Rytho;https://play.pokemonshowdown.com/sprites/trainers/jogger.png
Milkylex;https://play.pokemonshowdown.com/sprites/trainers/pokemonbreeder-gen6.png
Ad4k;https://play.pokemonshowdown.com/sprites/trainers/fisherman-gen3.png
Icy;https://play.pokemonshowdown.com/sprites/trainers/fisherman-gen4.png
Owany;https://play.pokemonshowdown.com/sprites/trainers/silver-masters.png
KPatoche;https://play.pokemonshowdown.com/sprites/trainers/fisherman-gen6xy.png
Yenseng;https://play.pokemonshowdown.com/sprites/trainers/fisherman-gen7.png
After9Days;https://play.pokemonshowdown.com/sprites/trainers/fisherman.png
Cicada;https://play.pokemonshowdown.com/sprites/trainers-custom/cicada.png
Junkhead;https://play.pokemonshowdown.com/sprites/trainers/preschooler.png
Redviolet;https://play.pokemonshowdown.com/sprites/trainers/preschoolerf-gen6.png
Bedal;https://play.pokemonshowdown.com/sprites/trainers/preschoolerf-gen7.png
ZawwYT;https://play.pokemonshowdown.com/sprites/trainers/preschoolerf.png
HE4TR4N;https://play.pokemonshowdown.com/sprites/trainers/schoolboy-gen2.png
Banito13;https://play.pokemonshowdown.com/sprites/trainers/korrina-masters.png
Umberto;https://play.pokemonshowdown.com/sprites/trainers/riley.png
Beleth;https://play.pokemonshowdown.com/sprites/trainers/schoolkid-gen3.png
Yato;https://play.pokemonshowdown.com/sprites/trainers/schoolkid-gen4.png
Zenadark;https://play.pokemonshowdown.com/sprites/trainers/cyrus-masters.png
Exeloty;https://play.pokemonshowdown.com/sprites/trainers/schoolkid-gen4dp.png
Armo;https://play.pokemonshowdown.com/sprites/trainers/caitlin.png
Ferkan;https://play.pokemonshowdown.com/sprites/trainers/ingo.png
Zewirak;https://play.pokemonshowdown.com/sprites/trainers/schoolkid.png
Exiline;https://play.pokemonshowdown.com/sprites/trainers/juggler.png
Vulpix03;https://play.pokemonshowdown.com/sprites/trainers/lillie-z.png
Coffy;https://play.pokemonshowdown.com/sprites/trainers/linebacker.png
Souw;https://play.pokemonshowdown.com/sprites/trainers/schoolkidf-gen3.png
Zwale;https://play.pokemonshowdown.com/sprites/trainers/schoolkidf-gen4.png
Jimcf;https://play.pokemonshowdown.com/sprites/trainers/schoolkidf-gen6.png
Fabionacci;https://play.pokemonshowdown.com/sprites/trainers/lucas.png
RiyadLand;https://play.pokemonshowdown.com/sprites/trainers/melli.png
HaxxSel;https://play.pokemonshowdown.com/sprites/trainers/raihan.png
Yovan;https://play.pokemonshowdown.com/sprites/trainers/az.png
Smouky;https://play.pokemonshowdown.com/sprites/trainers/schoolkidf.png
Rems;https://play.pokemonshowdown.com/sprites/trainers/pokefan-gen2.png
Nantfrek;https://play.pokemonshowdown.com/sprites/trainers/youngster-gen1.png
Valieily;https://play.pokemonshowdown.com/sprites/trainers/youngster-gen1rb.png
Unamed;https://play.pokemonshowdown.com/sprites/trainers/rancher.png
JeanChasuble;https://play.pokemonshowdown.com/sprites/trainers/youngster-gen2.png
Amoledge;https://play.pokemonshowdown.com/sprites/trainers/youngster-gen3.png
FNX456;https://play.pokemonshowdown.com/sprites/trainers/youngster-gen4.png
TheLastPseudo;https://play.pokemonshowdown.com/sprites/trainers/youngster-gen4dp.png
Ciel;https://play.pokemonshowdown.com/sprites/trainers/hilbert.png
Horodro;https://play.pokemonshowdown.com/sprites/trainers/elesa-masters.png
Herosabis;https://play.pokemonshowdown.com/sprites/trainers/youngster-gen6.png
Constantap;https://play.pokemonshowdown.com/sprites/trainers/youngster-gen9.png
Mimil;https://play.pokemonshowdown.com/sprites/trainers/ethan-masters.png
Elias PSY;https://play.pokemonshowdown.com/sprites/trainers-custom/scl3breakers2.png
Youde;https://play.pokemonshowdown.com/sprites/trainers/youngster-gen8.png
Kévin;https://play.pokemonshowdown.com/sprites/trainers/youngster-gen6xy.png
Gataen42;https://play.pokemonshowdown.com/sprites/trainers/lass-gen4.png
Naro51;https://play.pokemonshowdown.com/sprites/trainers/youngster-masters.png
Alkione;https://play.pokemonshowdown.com/sprites/trainers-custom/puplviiimoomoomilkers.png
Surimi;https://play.pokemonshowdown.com/sprites/trainers/youngster.png
Qsml;https://play.pokemonshowdown.com/sprites/trainers/pokekid.png
Belefeb;https://play.pokemonshowdown.com/sprites/trainers/pokekidf-gen8.png
Gravity Monkey;https://play.pokemonshowdown.com/sprites/trainers/ninjaboy.png
Rino;https://play.pokemonshowdown.com/sprites/trainers/bruno-gen1rb.png
Flabeauf;https://play.pokemonshowdown.com/sprites/trainers/youngster-gen7.png
MichaelderBeste;https://play.pokemonshowdown.com/sprites/trainers-custom/wcop2023germany.png
Lemonstre1;https://play.pokemonshowdown.com/sprites/trainers/pokefan-gen4.png
Selenade;https://play.pokemonshowdown.com/sprites/trainers/pokefan-gen6.png
Nassim;https://play.pokemonshowdown.com/sprites/trainers/officeworker-gen9.png
Buuditz;https://play.pokemonshowdown.com/sprites/trainers/pokefan-gen6xy.png
Sick69;https://play.pokemonshowdown.com/sprites/trainers/pokefan.png
Emrane;https://play.pokemonshowdown.com/sprites/trainers/pokefanf-gen2.png
Hacquelebac;https://play.pokemonshowdown.com/sprites/trainers/pokefanf-gen3.png
Lvnd;https://play.pokemonshowdown.com/sprites/trainers/pokefanf-gen4.png
Royal;https://play.pokemonshowdown.com/sprites/trainers-custom/agplivlionsden.png
Madara66;https://play.pokemonshowdown.com/sprites/trainers/pokefanf-gen6.png
Hats;https://play.pokemonshowdown.com/sprites/trainers/pokefanf-gen6xy.png
Wait2Seconds;https://play.pokemonshowdown.com/sprites/trainers-custom/rbtt7teamsuicune.png
BD;https://play.pokemonshowdown.com/sprites/trainers/blue-masters.png
Acii;https://play.pokemonshowdown.com/sprites/trainers/pokefanf.png
Squeeby;https://play.pokemonshowdown.com/sprites/trainers/pokemaniac-gen1.png
Aelleden;https://play.pokemonshowdown.com/sprites/trainers/pokemaniac-gen1rb.png
Brumirage;https://play.pokemonshowdown.com/sprites/trainers-custom/brumirage.png
HPtheswag;https://play.pokemonshowdown.com/sprites/trainers/nurse.png
Raphael800;https://play.pokemonshowdown.com/sprites/trainers/pokemaniac-gen2.png
VanSword;https://play.pokemonshowdown.com/sprites/trainers/pokemaniac-gen3.png
Multiprise;https://play.pokemonshowdown.com/sprites/trainers/worker.png
Ditwo;https://play.pokemonshowdown.com/sprites/trainers/pokemaniac-gen3rs.png
Ectoboggan;https://play.pokemonshowdown.com/sprites/trainers/elesa.png
PJ;https://play.pokemonshowdown.com/sprites/trainers-custom/wcop2023india.png
Mimikyu Stardust;https://play.pokemonshowdown.com/sprites/trainers-custom/mimikyustardust.png
Ahsan219;https://play.pokemonshowdown.com/sprites/trainers/hilda-masters3.png
Oreotrague;https://play.pokemonshowdown.com/sprites/trainers/camper-gen6.png
Juan;https://play.pokemonshowdown.com/sprites/trainers/saguaro.png
Shiritu;https://play.pokemonshowdown.com/sprites/trainers/ash-sinnoh.png
DaMMu;https://play.pokemonshowdown.com/sprites/trainers/blaine-gen2.png
TigerQuasar;https://play.pokemonshowdown.com/sprites/trainers/pokemaniac-gen6.png
Finalcrusader15;https://play.pokemonshowdown.com/sprites/trainers/pokemonbreeder-gen3.png
Pinecoishot;https://play.pokemonshowdown.com/sprites/trainers/bugsy-gen2.png
TwentyTwan;https://play.pokemonshowdown.com/sprites/trainers/gentleman.png
Akalli;https://play.pokemonshowdown.com/sprites/trainers-custom/splxvscooters.png;
UltraPenguin;https://play.pokemonshowdown.com/sprites/trainers/allister.png
Savouras;https://play.pokemonshowdown.com/sprites/trainers-custom/bdspplempoleonshow.png
Takkersss;https://play.pokemonshowdown.com/sprites/trainers/pokemonbreeder-gen4.png
Lostmemories;https://play.pokemonshowdown.com/sprites/trainers/fisherman-gen1.png
Scoptile;https://play.pokemonshowdown.com/sprites/trainers/gentleman-gen1.png
Dawad;https://play.pokemonshowdown.com/sprites/trainers/pokemonbreeder-gen6xy.png
Bloodoom;https://play.pokemonshowdown.com/sprites/trainers/pokemonbreeder-gen7.png
Capitaine Itsu;https://play.pokemonshowdown.com/sprites/trainers/pokemoncenterlady.png
VloneVictini;https://play.pokemonshowdown.com/sprites/trainers/pokemonbreeder-gen8.png
KSr;https://play.pokemonshowdown.com/sprites/trainers/miku-fire.png
MewEnRage;https://play.pokemonshowdown.com/sprites/trainers/pokemonbreeder.png
Alexthom;https://play.pokemonshowdown.com/sprites/trainers/pokemonbreederf-gen3.png
Micciu;https://play.pokemonshowdown.com/sprites/trainers-custom/pmpliidachsbuns.png
Piguite;https://play.pokemonshowdown.com/sprites/trainers/pokemonbreederf-gen3frlg.png
Wildygon;https://play.pokemonshowdown.com/sprites/trainers/pokemonbreederf-gen4.png
FROL1;https://play.pokemonshowdown.com/sprites/trainers/swimmerf-gen4dp.png
BushiTV;https://play.pokemonshowdown.com/sprites/trainers/pokemonbreederf-gen6.png
Deku216;https://play.pokemonshowdown.com/sprites/trainers/pokemonbreederf-gen6xy.png
Pokewatch4;https://play.pokemonshowdown.com/sprites/trainers/pokemonbreederf-gen7.png
JimmyG9965;https://play.pokemonshowdown.com/sprites/trainers/infielder.png
Boudys;https://play.pokemonshowdown.com/sprites/trainers/lady-gen6.png
Battleboss;https://play.pokemonshowdown.com/sprites/trainers/pokemonbreederf-gen8.png
Lizardu;https://play.pokemonshowdown.com/sprites/trainers/pokemonranger-gen6.png
TJ;https://play.pokemonshowdown.com/sprites/trainers-custom/scl3dynamos.png
Niko;https://play.pokemonshowdown.com/sprites/trainers/pokemonbreederf.png
TPP;https://play.pokemonshowdown.com/sprites/trainers-custom/bwpliiizuizoruas.png
JiRoK;https://play.pokemonshowdown.com/sprites/trainers/pokemonranger-gen6xy.png
Qwark;https://play.pokemonshowdown.com/sprites/trainers/pokemonranger-gen3.png
GaijinEagle;https://play.pokemonshowdown.com/sprites/trainers/pokemonranger-gen3rs.png
