round,bracket,player1,player2,winner,result
1,W,Spectrus745,Elias PSY,Elias PSY,1 - 2
1,W,Bluedeon,Maxouille,Maxouille,0 - 2
1,W,Fabionacci,Bicyclarv,Fabionacci,2 - 0
1,W,Rubyblood,Amphinoe,Rubyblood,2 - 0
1,W,PJ,Raph369,Raph369,0 - 2
1,W,Altthiel,Hiro',Hiro',1 - 2
1,W,Rytho,AlessLeRat,Rytho,Forfeit
1,W,Iggep,Torvik,Torvik,Coinflip
1,W,Vanath,Zwale,Vanath,2 - 1
1,W,Sayuze,Jhcardinals,Jhcardinals,1 - 2
1,W,Bea,MRaikou,Bea,2 - 1
1,W,Royal,Gravity Monkey,Royal,Forfeit
1,W,Chirac,Mimikyu Stardust,Mimikyu Stardust,0 - 2
1,W,Marty,BetterGreen,Marty,2 - 0
1,W,Shadowtime,Guxo,Shadowtime,2 - 1
1,W,Cicada,BIHI,BIHI,0 - 2
1,W,Yakufu,Illianes,Illianes,1 - 2
1,W,Ditwo,Slita,Ditwo,2 - 0
1,W,Boudys,Qsml,Qsml,0 - 2
1,W,Emrane,Jimcf,Emrane,2 - 0
1,W,Suwuki,Pheo,Pheo,0 - 2
1,W,MewEnRage,Fantominus,Fantominus,1 - 2
1,W,Redviolet,HikozaruGG,HikozaruGG,0 - 2
1,W,Qwark,Foufakirby,Foufakirby,1 - 2
1,W,Diazlec,Shinytra,Shinytra,1 - 2
1,W,Staymox,Ikra,Ikra,1 - 2
1,W,Roken,Blunder,Blunder,Coinflip
1,W,Thetrueneeko,Mada,Mada,0 - 2
1,W,Aubeloup07,Horodro,Horodro,Activity
1,W,Typhlow,Stellar Flares,Stellar Flares,0 - 2
1,W,Nassim,RuStaar,Nassim,2 - 0
1,W,FROL1,Kylhor,FROL1,2 - 1
1,W,Hats,Eoward,Eoward,0 - 2
1,W,ZardAce1,Zeyn John,ZardAce1,2 - 1
1,W,Carkoala,Sick69,Carkoala,2 - 1
1,W,Antho17,Ombrarch,Ombrarch,1 - 2
1,W,Infernox,Dangerpublic,Dangerpublic,Forfeit
1,W,Welli0u,Tuthur,Welli0u,2 - 0
1,W,VloneVictini,Akalli,Akalli,1 - 2
1,W,CreateurFou,Chicos,CreateurFou,2 - 1
1,W,Le Denis,xSquAre,Le Denis,2 - 0
1,W,Smouky,Totom22,Smouky,2 - 1
1,W,Stixxe,Trihydre,Trihydre,0 - 2
1,W,JiRoK,Norgesveldet,Norgesveldet,Coinflip
