round,bracket,player1,player2,winner,result
1,W,HikozaruGG,Rubyblood,HikozaruGG,Activity
1,W,Stellar Flares,Trihydre,Stellar Flares,2 - 0
1,W,Akalli,Bogi,Akalli,2 - 0
1,W,Issam,Kindyy,Issam,2 - 1
1,W,Cicada,Ashleyno,Cicada,2 - 0
1,W,Fabionacci,TPP,Fabionacci,2 - 1
1,W,Milkylex,Herosabis,Milkylex,2 - 0
1,W,Xyldaz,Diamondapa,Xyldaz,2 - 1
1,W,RoiDadadou,Kyll,RoiDadadou,2 - 1
1,W,Micciu,ImRayann,Micciu,2 - 1
1,W,RaulGB44,Keshba45,Keshba45,0 - 2
1,W,Welli0u,48,Welli0u,2 - 1
1,W,Armo,Zwale,Armo,2 - 1
1,W,Maxouille,Jorgeta,Maxouille,2 - 1
1,W,Mimikyu Stardust,Elgoz,Mimikyu Stardust,2 - 0
1,W,Yovan,Torvik,Yovan,2 - 1
1,W,Omega Water,LucioCerra,LucioCerra,0 - 2
1,W,OneLastKiss,Silent waltzz,OneLastKiss,2 - 0
1,W,Payload13,Shiif,Shiif,0 - 2
1,W,s7a,Vkhss,Vkhss,Coinflip
1,W,Vulpeen,Rino,Vulpeen,2 - 1
1,W,Loganna,Kebabmlml,Kebabmlml,1 - 2
1,W,DidiLaMalice,Bedal,DidiLaMalice,2 - 1
1,W,Lou Dort,Ygane,Lou Dort,Activity
1,W,Ikra,Lokifan,Lokifan,1 - 2
1,W,ZaraSensei,Mauch2204,ZaraSensei,2 - 1
1,W,Extinct,Multiprise,Multiprise,0 - 2
1,W,L0ulstraT09,Hervalt,Hervalt,0 - 2
1,W,Simuxxie,Bloodoom,Simuxxie,2 - 0
1,W,Labellebit,Tchoupi,Tchoupi,1 - 2
1,W,Abbehat,Remi25,Remi25,1 - 2
1,W,Antho17,StazMTA,Antho17,2 - 1
1,W,TheLastPseudo,Light DN,Light DN,Activity
1,W,766645,Bocoaa,766645,2 - 1
1,W,Trognon,ClairDeSoleil,Trognon,2 - 0
1,W,JuyenRPPLF,Rems,JuyenRPPLF,2 - 0
1,W,Uzerklu,massoli,Uzerklu,Activity
1,W,Zenadark,JojoOui,JojoOui,1 - 2
1,W,Umberto,Crowlignt,Umberto,2 - 1
1,W,Elias PSY,Lumeon,Elias PSY,2 - 0
1,W,Exotic,JspKiC,Exotic,2 - 1
1,W,Drudi.exe,Flabeauf,Flabeauf,0 - 2
1,W,Lightniong,TigerQuasar,TigerQuasar,0 - 2
1,W,Itavhyy,Illianes,Illianes,0 - 2
1,W,Bye,Foufakirby,Foufakirby,#N/A
1,W,LenaIsTrueWaifu,Madara66,Madara66,1 - 2
1,W,SM,FordPrefect,SM,2 - 0
1,W,ReaDynn,Zerwixo,ReaDynn,2 - 1
1,W,Youde,Surimi,Youde,2 - 0
1,W,Pendulum8,Fantominus,Fantominus,1 - 2
1,W,Zentrox,Loutio0,Zentrox,2 - 0
1,W,RiyadLand,Goodpepito,Goodpepito,0 - 2
1,W,Krapouchi,Wappy,Wappy,1 - 2
1,W,Macaxandre,Zenomium,Macaxandre,2 - 0
1,W,Le Yak,Antonazz,Antonazz,Forfeit
1,W,BetterGreen,LegacyYuna,LegacyYuna,1 - 2
1,W,Cielau,Boonty88,Cielau,2 - 0
1,W,Nassim,ChrisCP,Nassim,2 - 0
1,W,Zugubu royale,Mik0ia,Zugubu royale,2 - 0
1,W,Mimilimi,Hoyssxo,Mimilimi,2 - 0
1,W,Bye,Iaoth,Iaoth,#N/A
1,W,Daharan,Uxilon,Daharan,2 - 1
1,W,Wildygon,HPtheswag,Wildygon,2 - 0
1,W,Inoh650,Raimus,Raimus,0 - 2
